"mident","mois","actif","actifp","actifs","agea"
1103348001,16,0,0,0,50
1103348001,17,0,0,0,50.083332
1103348001,18,0,0,0,50.166668
1103348001,19,0,0,0,50.25
1103348001,20,0,0,0,50.333332
1103348001,21,0,0,0,50.416668
1103348001,22,0,0,0,50.5
1103348001,23,0,0,0,50.583332
1103348001,24,0,0,0,50.666668
1103461001,13,1,1,0,26.25
1103461001,14,1,1,0,26.333334
1103461001,15,1,1,0,26.416666
1103461001,16,1,1,0,26.5
1103461001,17,1,1,0,26.583334
1103461001,18,1,1,0,26.666666
1103461001,19,1,1,0,26.75
1103461001,20,1,1,0,26.833334
1103461001,21,1,1,0,26.916666
1103461001,22,1,1,0,27
1103461001,23,1,1,0,27.083334
1103461001,24,1,1,0,27.166666
1103564001,13,1,1,0,36.5
1103564001,14,1,1,0,36.583332
1103564001,15,1,1,0,36.666668
1103564001,16,1,1,0,36.75
1103564001,17,1,1,0,36.833332
1103564001,18,1,1,0,36.916668
1103564001,19,1,1,0,37
1103564001,20,1,1,0,37.083332
1103564001,21,1,1,0,37.166668
1103564001,22,1,1,0,37.25
1103564001,23,1,1,0,37.333332
1103564001,24,1,1,0,37.416668
1103571001,13,1,1,0,48.583332
1103571001,14,1,1,0,48.666668
1103571001,15,1,1,0,48.75
1103571001,16,1,1,0,48.833332
1103571001,17,1,1,0,48.916668
1103571001,18,1,1,0,49
1103571001,19,1,1,0,49.083332
1103571001,20,1,1,0,49.166668
1103571001,21,1,1,0,49.25
1103571001,22,1,1,0,49.333332
1103571001,23,1,1,0,49.416668
1103571001,24,1,1,0,49.5
1103656021,13,0,0,0,58.916668
1103656021,14,0,0,0,59
1103656021,15,0,0,0,59.083332
1103656021,16,0,0,0,59.166668
1103656021,17,0,0,0,59.25
1103656021,18,0,0,0,59.333332
1103656021,19,0,0,0,59.416668
1103656021,20,0,0,0,59.5
1103656021,21,0,0,0,59.583332
1103656021,22,0,0,0,59.666668
1103656021,23,0,0,0,59.75
1103656021,24,0,0,0,59.833332
1103720001,13,1,1,1,21.666666
1103720001,14,1,1,1,21.75
1103720001,15,1,1,1,21.833334
1103720001,16,1,1,1,21.916666
1103720001,17,1,1,1,22
1103720001,18,1,1,1,22.083334
1103720001,19,1,1,1,22.166666
1103720001,20,1,1,1,22.25
1103720001,21,1,0,1,22.333334
1103720001,22,0,0,0,22.416666
1103720001,23,0,0,0,22.5
1103720001,24,0,0,0,22.583334
1103757001,13,1,1,0,24
1103757001,14,1,1,0,24.083334
1103757001,15,1,1,0,24.166666
1103757001,16,1,1,0,24.25
1103757001,17,1,1,0,24.333334
1103757001,18,1,1,0,24.416666
1103757001,19,1,1,0,24.5
1103757001,20,1,1,0,24.583334
1103757001,21,1,1,0,24.666666
1103757001,22,1,1,0,24.75
1103757001,23,1,1,0,24.833334
1103757001,24,1,1,0,24.916666
1104097001,13,1,1,0,27.916666
1104097001,14,1,1,0,28
1104097001,15,1,1,0,28.083334
1104097001,16,1,1,0,28.166666
1104097001,17,1,1,0,28.25
1104097001,18,1,1,0,28.333334
1104097001,19,1,1,0,28.416666
1104097001,20,1,1,0,28.5
1104097001,21,1,1,0,28.583334
1104097001,22,1,1,0,28.666666
1104097001,23,1,1,0,28.75
1104097001,24,1,1,0,28.833334
1104291001,13,1,1,0,29.666666
1104291001,14,1,1,0,29.75
1104291001,15,1,1,0,29.833334
1104291001,16,1,1,0,29.916666
1104291001,17,1,1,0,30
1104291001,18,1,1,0,30.083334
1104291001,19,1,1,0,30.166666
1104291001,20,1,1,0,30.25
1104291001,21,1,1,0,30.333334
1104291001,22,1,1,0,30.416666
1104291001,23,1,1,0,30.5
1104291001,24,1,1,0,30.583334
1104309001,13,1,1,0,29.083334
1104309001,14,1,1,0,29.166666
1104309001,15,1,1,0,29.25
1104309001,16,1,1,0,29.333334
1104309001,17,1,1,0,29.416666
1104309001,18,1,1,0,29.5
1104309001,19,1,1,0,29.583334
1104309001,20,1,1,0,29.666666
1104309001,21,1,1,0,29.75
1104309001,22,1,1,0,29.833334
1104309001,23,1,1,0,29.916666
1104309001,24,1,1,0,30
1104482001,13,1,1,0,35.833332
1104482001,14,1,1,0,35.916668
1104482001,15,1,1,0,36
1104482001,16,1,1,0,36.083332
1104482001,17,1,1,0,36.166668
1104482001,18,1,1,0,36.25
1104482001,19,1,1,0,36.333332
1104482001,20,1,1,0,36.416668
1104482001,21,1,1,0,36.5
1104482001,22,1,1,0,36.583332
1104482001,23,1,1,0,36.666668
1104482001,24,1,1,0,36.75
1104606001,13,1,1,0,32.333332
1104606001,14,1,1,0,32.416668
1104606001,15,1,1,0,32.5
1104606001,16,1,1,0,32.583332
1104606001,17,1,1,0,32.666668
1104606001,18,1,1,0,32.75
1104606001,19,1,1,0,32.833332
1104606001,20,1,1,0,32.916668
1104606001,21,1,1,0,33
1104606001,22,1,1,0,33.083332
1104606001,23,1,1,0,33.166668
1104606001,24,1,1,0,33.25
1104617001,13,1,1,0,36.333332
1104617001,14,1,1,0,36.416668
1104617001,15,1,1,0,36.5
1104617001,16,1,1,0,36.583332
1104617001,17,1,1,0,36.666668
1104617001,18,1,1,0,36.75
1104617001,19,1,1,0,36.833332
1104617001,20,1,1,0,36.916668
1104617001,21,1,1,0,37
1104617001,22,0,0,0,37.083332
1104617001,23,0,0,0,37.166668
1104617001,24,0,0,0,37.25
1104734001,13,0,0,0,37.083332
1104734001,14,0,0,0,37.166668
1104734001,15,0,0,0,37.25
1104734001,16,0,0,0,37.333332
1104734001,17,0,0,0,37.416668
1104734001,18,0,0,0,37.5
1104734001,19,0,0,0,37.583332
1104734001,20,0,0,0,37.666668
1104734001,21,0,0,0,37.75
1104734001,22,0,0,0,37.833332
1104734001,23,0,0,0,37.916668
1104734001,24,0,0,0,38
1104831001,13,1,1,0,27.166666
1104831001,14,1,1,0,27.25
1104831001,15,1,1,0,27.333334
1104831001,16,1,1,0,27.416666
1104831001,17,1,1,0,27.5
1104831001,18,1,1,0,27.583334
1104831001,19,1,1,0,27.666666
1104831001,20,1,1,0,27.75
1104831001,21,1,1,0,27.833334
1104831001,22,1,1,0,27.916666
1104831001,23,1,1,0,28
1104831001,24,1,1,0,28.083334
1105092001,13,1,1,0,38.916668
1105092001,14,1,1,0,39
1105092001,15,1,1,0,39.083332
1105092001,16,1,1,0,39.166668
1105092001,17,1,1,0,39.25
1105092001,18,1,1,0,39.333332
1105092001,19,1,1,0,39.416668
1105092001,20,1,1,0,39.5
1105092001,21,1,1,0,39.583332
1105092001,22,1,1,0,39.666668
1105092001,23,1,1,0,39.75
1105092001,24,1,1,0,39.833332
1105140001,13,1,1,0,25.583334
1105140001,14,1,1,0,25.666666
1105140001,15,1,1,0,25.75
1105140001,16,1,1,0,25.833334
1105140001,17,1,1,0,25.916666
1105140001,18,1,1,0,26
1105140001,19,1,1,0,26.083334
1105140001,20,1,1,0,26.166666
1105140001,21,1,1,0,26.25
1105140001,22,1,1,0,26.333334
1105140001,23,1,1,0,26.416666
1105140001,24,1,1,0,26.5
1105393001,13,1,1,0,31.583334
1105393001,14,1,1,0,31.666666
1105393001,15,1,1,0,31.75
1105393001,16,1,1,0,31.833334
1105393001,17,1,1,0,31.916666
1105393001,18,1,1,0,32
1105393001,19,1,1,0,32.083332
1105393001,20,1,1,0,32.166668
1105393001,21,1,1,0,32.25
1105393001,22,1,1,0,32.333332
1105393001,23,1,1,0,32.416668
1105393001,24,1,1,0,32.5
1105900001,13,1,1,0,33
1105900001,14,1,1,0,33.083332
1105900001,15,1,1,0,33.166668
1105900001,16,1,1,0,33.25
1105900001,17,1,1,0,33.333332
1105900001,18,1,1,0,33.416668
1105900001,19,1,1,0,33.5
1105900001,20,1,1,0,33.583332
1105900001,21,1,1,0,33.666668
1105900001,22,1,1,0,33.75
1105900001,23,1,1,0,33.833332
1105900001,24,1,1,0,33.916668
